Meal,Station,Food Name,Ounces,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Calcium,Iron,Potassium,is_vegetarian,is_vegan,is_halal,allergens
All Day,ASIAN SAUCE,Dumpling Dipping Sauce,0.85,10,0.02g,0g,0g,0mg,289.99mg,1.41g,0.11g,1.24g,0.06g,2.24mg,0.06mg,8.87mg,True,True,False,"soy,gluten,wheat"
All Day,ASIAN SAUCE,Red Sriracha,1.23,19,0.15g,0.01g,0g,0mg,186.26mg,4.29g,0.52g,2.55g,0.71g,8.08mg,0.36mg,109.34mg,True,True,False,
All Day,ASIAN SAUCE,Thai Chilies w/ Vegan Fish Sauce,1.54,26,0.06g,0g,0g,0mg,2788.66mg,5.17g,0.21g,2.72g,2.23g,1.98mg,0.14mg,45.58mg,True,True,False,soy
All Day,ASIAN SAUCE,Chojang Korean Dipping Sauce,0.99,112,7.68g,1g,0g,0mg,129.3mg,10.32g,0.01g,8.83g,0.11g,1.72mg,0.01mg,2.35mg,True,True,False,"soy,gluten,wheat,sesame"
All Day,ASIAN SAUCE,Kickin' Mayo,1,148,16.17g,0.9g,0g,0mg,227.36mg,0.55g,0g,0.54g,0g,0.03mg,0mg,2.15mg,False,False,False,soy
All Day,BOBA DRINKS,Milk Tea Boba,20.69,538,7.92g,4.22g,0g,28.56mg,48.09mg,115.89g,0.29g,72.84g,0.06g,20.88mg,0.53mg,154.78mg,True,False,False,dairy
All Day,BOBA DRINKS,Thai Tea Boba,24.03,577,5.79g,3.13g,0.07g,19.34mg,80.37mg,129.2g,0.34g,99.3g,4.9g,189.21mg,0.54mg,166.67mg,True,False,False,dairy
All Day,BOBA DRINKS,Taro Boba,20.57,418,6.12g,2.51g,0g,0mg,19.59mg,89.55g,0.29g,51.07g,0.06g,20.58mg,0.47mg,5.25mg,True,False,False,dairy
All Day,BOBA DRINKS,Green Milk Tea Boba,18.45,410,3.87g,0g,0g,0mg,17.57mg,74.72g,0.21g,47.22g,0.05g,17.73mg,0.37mg,4.03mg,True,False,False,dairy
All Day,BOBA DRINKS,Vietnamese Coffee Boba,24.7,750,7.77g,4.2g,0.07g,25.69mg,103.68mg,165.85g,0.28g,126.79g,7.91g,260.09mg,1.05mg,617.42mg,True,False,False,dairy
All Day,BOBA DRINKS,Horchata Boba,18.51,181,0.73g,0.73g,0g,0mg,35.94mg,42.49g,0.21g,20.35g,0.42g,31.79mg,0.42mg,60.38mg,True,False,False,"soy,dairy"
All Day,BOBA DRINKS,Agua de Jamaica,12.54,114,0g,0g,0g,0mg,12.33mg,30.35g,0g,30.35g,0g,9.24mg,0mg,0mg,True,True,False,
All Day,BOBA DRINKS,Strawberry Lemonade Boba,25.78,224,0.07g,0g,0g,0mg,32.88mg,57.51g,0.51g,28.79g,0.22g,28.42mg,0.58mg,40.12mg,True,False,False,
All Day,BOBA DRINKS,Mango Boba,18.58,341,0g,0g,0g,0mg,17.11mg,82.68g,0.42g,47.34g,0.11g,24.96mg,0.84mg,47.6mg,True,False,False,
All Day,BOBA DRINKS,Cucumber & Lime Fresca Boba,18.3,186,0.21g,0.05g,0g,0mg,23.76mg,47.41g,0.83g,16.44g,0.67g,35.01mg,0.83mg,149.02mg,True,False,False,
All Day,DRINKS,Brewed Coffee,17.38,70,0.1g,0.05g,0g,0mg,26.16mg,14.73g,0g,0g,2.36g,41.77mg,0.89mg,691.31mg,True,True,False,
All Day,DRINKS,Fountain Beverage,1.04,0,0g,0g,0g,0mg,0.98mg,0g,0g,0g,0g,0.74mg,0mg,0mg,True,True,False,
